Organism;Cultivar;Run;Bases (G);Genome Size;Coverage 
Saccharum barberi;Chunnee;SRR12929232;99.43;10;9.9
;SARETHA;SRR32637094;105.00;10;10.5
;GANAPATHY;SRR32637126;23.13;10;2.3
;SARAROO;SRR32637548;172.00;10;17.2
;TEKCHA;SRR32673125;243.00;10;24.3
;Katha8232;SRR32744570;72.34;10;7.2
;;SRR32744571;57.68;10;5.8
;;SRR32744572;91.73;10;9.2
;Kewali;SRR32744643;63.35;10;6.3
;;SRR32744645;56.01;10;5.6
;MatkiMango;SRR32745134;118.00;10;11.8
;;SRR32745135;102.00;10;10.2
;Sunnabile;SRR32744527;67.66;10;6.8
;;SRR32744528;85.34;10;8.5
;Sarauti;SRR32745131;80.96;10;8.1
;;SRR32745132;67.18;10;6.7
;MatkiMango;SRR32745133;68.15;10;6.8
;Mojorah;SRR32744468;78.19;10;7.8
;;SRR32744469;87.36;10;8.7
;;SRR32744470;80.75;10;8.1
;Agoule;SRR32744504;90.91;10;9.1
;;SRR32744505;66.20;10;6.6
;;SRR32744506;55.85;10;5.6
;Sunnabile;SRR32744526;90.49;10;9.0
;Kewali;SRR32744644;96.75;10;9.7
;Sarauti;SRR32745130;68.43;10;6.8
Saccharum officinarum;Uahiapele;SRR32743801;113.00;10;11.3
;Black Cheribon;SRR13165725;130.00;10;13.0
;Badila;SRR13165728;155.00;10;15.5
;FIJI 63;SRR32633743;64.14;10;6.4
;FIJI 47;SRR32634002;179.00;10;17.9
;Lahaina;SRR32636969;156.00;10;15.6
;FIJI 62;SRR32632685;83.66;10;8.4
;Fiji 40;SRR32632778;148.00;10;14.8
;Bandjarmansin Hitam;SRR32632781;118.00;10;11.8
;Fiji45;SRR32632985;83.89;10;8.4
;LOETHERS;SRR32673054;115.00;10;11.5
;Cristallina;SRR32740695;65.70;10;6.6
;;SRR32740696;87.31;10;8.7
;Creoula;SRR32740713;69.31;10;6.9
;THA82-71;SRR32744503;73.66;10;7.4
;WitDjapara;SRR32744622;89.59;10;9.0
;;SRR32744623;68.13;10;6.8
;Creoula;SRR32740712;91.13;10;9.1
;YellowCaledonia;SRR32744568;89.59;10;9.0
;;SRR32744569;121.00;10;12.1
;Salangor;SRR32744402;70.70;10;7.1
;;SRR32744403;86.56;10;8.7
;THA82-71;SRR32744502;84.21;10;8.4
Saccharum robustum;NG28-251;SRR12934169;127.00;10;12.7
;IJ76-507;SRR32744348;99.51;10;10.0
;US57-141-5;SRR32744463;106.00;10;10.6
;NG77-230;SRR32744548;86.22;10;8.6
;IN84-50;SRR32743551;68.63;10;6.9
;;SRR32743552;93.96;10;9.4
;IN84-76;SRR32743592;71.54;10;7.2
;;SRR32743593;77.62;10;7.8
;IN84-104;SRR32744014;87.07;10;8.7
;Mol4200;SRR32744016;92.47;10;9.2
;IM76-260;SRR32744339;70.22;10;7.0
;;SRR32744340;78.79;10;7.9
;US57-141-5;SRR32744464;80.68;10;8.1
;IN84-104;SRR32744013;63.18;10;6.3
;Mol4200;SRR32744015;94.44;10;9.4
;Mol4943;SRR32744250;79.42;10;7.9
;;SRR32744251;76.54;10;7.7
;IJ76-507;SRR32744347;96.01;10;9.6
;NG77-230;SRR32744547;86.93;10;8.7
;IM76-238;SRR32763979;82.11;10;8.2
;;SRR32763980;89.07;10;8.9
Saccharum spontaneum;Glagah;SRR12935194;169.00;10;16.9
;NG28-101;SRR32743804;88.71;10;8.9
;;SRR32743805;87.29;10;8.7
;Glagha1286;SRR32744255;109.00;10;10.9
;;SRR32744256;81.58;10;8.2
;Mol5801;SRR32744241;82.83;10;8.3
;;SRR32744242;75.00;10;7.5
;Glagha1286;SRR32744254;73.82;10;7.4
